2015-12-28 9:51:39 - PHP Notice:  Undefined index: wishlist in D:\xampp\htdocs\ytc_templates\opencart\so_shoppystore\vqmod\vqcache\vq2-catalog_controller_common_header.php on line 76
2015-12-28 10:44:41 - PHP Notice:  Undefined variable: site_key in D:\xampp\htdocs\ytc_templates\opencart\so_shoppystore\catalog\view\theme\so-shoppystore\template\product\product.tpl on line 938
2015-12-29 3:45:00 - PHP Warning:  fopen(D:/xampp/htdocs/ytc_templates/opencart/so_shoppystore/system/cache/cache.store.1451360700): failed to open stream: No such file or directory in D:\xampp\htdocs\ytc_templates\opencart\so_shoppystore\system\library\cache\file.php on line 49
2015-12-29 3:45:00 - PHP Warning:  flock() expects parameter 1 to be resource, boolean given in D:\xampp\htdocs\ytc_templates\opencart\so_shoppystore\system\library\cache\file.php on line 51
2015-12-29 3:45:00 - PHP Warning:  fwrite() expects parameter 1 to be resource, boolean given in D:\xampp\htdocs\ytc_templates\opencart\so_shoppystore\system\library\cache\file.php on line 53
2015-12-29 3:45:00 - PHP Warning:  fflush() expects parameter 1 to be resource, boolean given in D:\xampp\htdocs\ytc_templates\opencart\so_shoppystore\system\library\cache\file.php on line 55
2015-12-29 3:45:00 - PHP Warning:  flock() expects parameter 1 to be resource, boolean given in D:\xampp\htdocs\ytc_templates\opencart\so_shoppystore\system\library\cache\file.php on line 57
2015-12-29 3:45:00 - PHP Warning:  fclose() expects parameter 1 to be resource, boolean given in D:\xampp\htdocs\ytc_templates\opencart\so_shoppystore\system\library\cache\file.php on line 59
2015-12-29 3:45:00 - PHP Warning:  fopen(D:/xampp/htdocs/ytc_templates/opencart/so_shoppystore/system/cache/cache.order_status.1.1451360700): failed to open stream: No such file or directory in D:\xampp\htdocs\ytc_templates\opencart\so_shoppystore\system\library\cache\file.php on line 49
2015-12-29 3:45:00 - PHP Warning:  flock() expects parameter 1 to be resource, boolean given in D:\xampp\htdocs\ytc_templates\opencart\so_shoppystore\system\library\cache\file.php on line 51
2015-12-29 3:45:00 - PHP Warning:  fwrite() expects parameter 1 to be resource, boolean given in D:\xampp\htdocs\ytc_templates\opencart\so_shoppystore\system\library\cache\file.php on line 53
2015-12-29 3:45:00 - PHP Warning:  fflush() expects parameter 1 to be resource, boolean given in D:\xampp\htdocs\ytc_templates\opencart\so_shoppystore\system\library\cache\file.php on line 55
2015-12-29 3:45:00 - PHP Warning:  flock() expects parameter 1 to be resource, boolean given in D:\xampp\htdocs\ytc_templates\opencart\so_shoppystore\system\library\cache\file.php on line 57
2015-12-29 3:45:00 - PHP Warning:  fclose() expects parameter 1 to be resource, boolean given in D:\xampp\htdocs\ytc_templates\opencart\so_shoppystore\system\library\cache\file.php on line 59
2015-12-29 3:46:37 - PHP Warning:  fopen(D:/xampp/htdocs/ytc_templates/opencart/so_shoppystore/system/cache/cache.store.1451360797): failed to open stream: No such file or directory in D:\xampp\htdocs\ytc_templates\opencart\so_shoppystore\system\library\cache\file.php on line 49
2015-12-29 3:46:37 - PHP Warning:  flock() expects parameter 1 to be resource, boolean given in D:\xampp\htdocs\ytc_templates\opencart\so_shoppystore\system\library\cache\file.php on line 51
2015-12-29 3:46:37 - PHP Warning:  fwrite() expects parameter 1 to be resource, boolean given in D:\xampp\htdocs\ytc_templates\opencart\so_shoppystore\system\library\cache\file.php on line 53
2015-12-29 3:46:37 - PHP Warning:  fflush() expects parameter 1 to be resource, boolean given in D:\xampp\htdocs\ytc_templates\opencart\so_shoppystore\system\library\cache\file.php on line 55
2015-12-29 3:46:37 - PHP Warning:  flock() expects parameter 1 to be resource, boolean given in D:\xampp\htdocs\ytc_templates\opencart\so_shoppystore\system\library\cache\file.php on line 57
2015-12-29 3:46:37 - PHP Warning:  fclose() expects parameter 1 to be resource, boolean given in D:\xampp\htdocs\ytc_templates\opencart\so_shoppystore\system\library\cache\file.php on line 59
2015-12-29 3:46:37 - PHP Warning:  fopen(D:/xampp/htdocs/ytc_templates/opencart/so_shoppystore/system/cache/cache.order_status.1.1451360797): failed to open stream: No such file or directory in D:\xampp\htdocs\ytc_templates\opencart\so_shoppystore\system\library\cache\file.php on line 49
